,City ID,City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
131,3372707,Ribeira Grande,11,PT,1658710738,89,38.5167,-28.7,74.43,5.64
132,2264557,Ponta do Sol,0,PT,1658710802,36,32.6667,-17.1,84.13,3.15
133,1506268,Gornopravdinsk,100,RU,1658710754,81,60.05,69.9,59.13,5.21
134,5870133,Nome,68,US,1658710894,73,64.5011,-165.4064,55.17,5.79
135,2078025,Adelaide,40,AU,1658711020,82,-34.9333,138.6,58.21,16.11
136,6166142,Thunder Bay,40,CA,1658710792,72,48.4001,-89.3168,60.78,11.5
137,546105,Nikolskoye,72,RU,1658710762,97,59.7035,30.7861,62.49,3.44
138,5972762,Hay River,12,CA,1658710838,77,60.8156,-115.7999,60.22,8.81
139,3981345,Topolobampo,40,MX,1658711021,58,25.6,-109.05,87.71,13.8
140,3171985,Orbetello,0,IT,1658711021,70,42.4408,11.2196,76.84,6.38
141,2412408,Nioro,88,GM,1658711021,89,13.35,-15.75,74.89,3.74
142,1735902,Sibu,84,MY,1658710884,88,2.3,111.8167,78.89,1.92
143,2128975,Nemuro,2,JP,1658710896,88,43.3236,145.575,63.37,3.11
144,935214,Saint-Pierre,0,RE,1658710790,68,-21.3393,55.4781,65.28,6.91
145,2065594,Mount Isa,0,AU,1658710887,38,-20.7333,139.5,76.77,6.91
146,5905393,Bonavista,24,CA,1658711023,90,48.6499,-53.1147,64.45,11.43
147,2396853,Omboué,100,GA,1658711023,81,-1.5746,9.2618,72.03,4.63
148,2132606,Samarai,48,PG,1658710854,81,-10.6167,150.6667,79.84,14.45
149,1717787,Catuday,49,PH,1658711024,75,16.2923,119.8062,83.88,4.29
150,5014208,Waverly,0,US,1658710953,88,42.7392,-84.6208,75.36,6.91
151,3381538,Grand-Santi,100,GF,1658710923,90,4.25,-54.3833,75.87,2.59
152,364933,Umm Kaddadah,100,SD,1658711024,57,13.6017,26.6876,83.3,19.71
153,5880054,Barrow,100,US,1658710770,87,71.2906,-156.7887,42.82,11.5
154,3466704,Castro,100,BR,1658710772,73,-24.7911,-50.0119,58.86,2.91
155,1493870,Pyshma,0,RU,1658711025,88,56.9523,63.2513,63.37,5.79
156,2094342,Kavieng,8,PG,1658710828,69,-2.5744,150.7967,85.42,11.21
157,296852,Erzin,0,TR,1658711025,44,36.9559,36.2,72.86,4.9
158,2171099,Codrington,100,AU,1658710813,91,-38.2667,141.9667,54.19,17.47
159,1861171,Iwata,100,JP,1658711026,59,34.7,137.85,85.84,3.67
160,1507390,Dikson,100,RU,1658710782,97,73.5069,80.5464,46.9,11.54
161,1789647,Xichang,56,CN,1658711026,90,27.8964,102.2634,68.63,1.63
162,2084442,Vanimo,47,PG,1658710867,72,-2.6741,141.3028,84.02,5.57
163,1819729,Hong Kong,15,HK,1658710527,77,22.2855,114.1577,92.25,5.99
164,739251,Suluova,0,TR,1658710990,87,40.8313,35.6479,53.46,5.75
165,2155562,Nelson Bay,0,AU,1658710839,86,-32.7167,152.15,61.11,5.01
166,2015306,Tiksi,55,RU,1658710793,72,71.6872,128.8694,48.92,3.78
167,5861897,Fairbanks,99,US,1658710808,32,64.8378,-147.7164,74.61,1.99
168,1168700,Ormara,100,PK,1658710859,90,25.2088,64.6357,79.83,9.6
169,1651810,Airai,94,TL,1658710854,44,-8.9266,125.4092,66.07,3.09
170,172515,Abu Samrah,0,SY,1658711028,33,35.3029,37.1841,74.82,5.64
171,1637001,Biak,85,ID,1658710900,70,-0.9131,122.8766,79.34,7.07
172,3883457,Lebu,100,CL,1658710775,92,-37.6167,-73.65,53.42,13.76
173,986717,Kruisfontein,86,ZA,1658710727,82,-34.0033,24.7314,50.88,3.42
174,6089245,Norman Wells,75,CA,1658710782,55,65.282,-126.8329,66.24,4.61
175,2194098,Ahipara,100,NZ,1658710790,96,-35.1667,173.1667,62.49,19.33
176,3837213,San Juan,0,AR,1658710837,50,-31.5375,-68.5364,60.4,7.54
177,1640660,Gondanglegi,44,ID,1658711030,69,-7.7479,112.0132,74.82,14.76
178,6355222,Yulara,0,AU,1658710862,48,-25.2406,130.9889,58.59,17.05
179,5735537,La Grande,0,US,1658711030,26,45.3246,-118.0877,88.23,8.88
180,3454005,Piaçabuçu,100,BR,1658711031,76,-10.4056,-36.4344,72.43,9.31
181,924572,Nsanje,0,MW,1658710794,91,-16.92,35.262,62.85,3.22
182,2527087,Tiznit Province,11,MA,1658711031,23,29.5833,-9.5,87.57,2.62
183,523382,Naryshkino,100,RU,1658711031,94,52.9678,35.7268,62.49,5.28
184,5391295,Salinas,40,US,1658711032,72,36.6777,-121.6555,75.0,14.97
185,3571913,Marsh Harbour,7,BS,1658711032,73,26.5412,-77.0636,82.8,14.63
186,87205,Darnah,0,LY,1658711032,70,32.767,22.6367,79.11,14.36
187,4034551,Faanui,1,PF,1658710780,77,-16.4833,-151.75,78.35,12.41
188,699328,Novopokrovka,100,UA,1658710843,73,49.8425,36.5477,65.3,3.67
189,1505998,Idrinskoye,100,RU,1658711033,92,54.3708,92.1358,54.82,3.83
190,1259385,Port Blair,80,IN,1658710848,79,11.6667,92.75,81.86,2.06
191,72181,Marzuq,100,YE,1658711033,64,14.4,46.4667,77.27,4.43
192,2012530,Zhigansk,20,RU,1658710783,65,66.7697,123.3711,65.23,8.01
193,3381041,Mana,99,GF,1658710866,91,5.6592,-53.7767,76.91,8.57
194,1070940,Fenoarivo,40,MG,1658710923,100,-18.933,47.4354,48.27,2.3
195,1510377,Belyy Yar,0,RU,1658710888,82,53.6039,91.3903,58.86,4.47
196,3831208,Qaanaaq,100,GL,1658710774,92,77.484,-69.3632,40.55,0.38
197,6170031,Tuktoyaktuk,40,CA,1658710752,87,69.4541,-133.0374,46.4,9.22
198,780687,Berlevåg,100,NO,1658710786,93,70.8578,29.0864,49.8,6.91
199,608324,Shetpe,92,KZ,1658711036,60,44.1667,52.1167,70.18,1.45
200,3945985,Camaná,39,PE,1658711036,84,-16.6228,-72.7111,60.75,6.58
201,124193,Meybod,5,IR,1658711037,14,32.2501,54.0166,89.74,6.24
202,2520610,Caceres,10,ES,1658711037,33,39.522,-6.3748,74.82,5.44
203,4020109,Atuona,1,PF,1658710784,62,-9.8,-139.0333,76.53,12.95
204,2125906,Dukat,7,RU,1658711037,29,62.55,155.55,62.96,1.92
205,164947,Salamiyah,0,SY,1658711038,44,35.0113,37.0532,71.82,5.06
206,780717,Båtsfjord,75,NO,1658711038,81,70.6345,29.7185,49.93,4.61
207,3445026,Vila Velha,31,BR,1658710916,85,-20.3297,-40.2925,70.95,3.24
208,3471451,Arraial do Cabo,4,BR,1658710688,87,-22.9661,-42.0278,71.22,20.89
209,2639912,Preston,100,GB,1658710917,86,53.7667,-2.7167,62.85,11.03
210,1500933,Labytnangi,65,RU,1658710997,75,66.6572,66.4183,51.46,17.52
211,1058381,Morondava,0,MG,1658711039,86,-20.2833,44.2833,66.06,8.66
212,3980627,Valle de Allende,59,MX,1658711040,23,26.9333,-105.4,86.94,14.14
213,935215,Saint-Philippe,36,RE,1658710781,79,-21.3585,55.7679,65.21,6.06
214,2126199,Cherskiy,6,RU,1658710827,37,68.75,161.3,62.78,8.16
215,2263586,Samora Correia,2,PT,1658711040,88,38.9371,-8.8718,67.55,6.49
216,551847,Kaspiysk,6,RU,1658711041,56,42.8816,47.6392,69.98,7.0
217,6255012,Flinders,66,AU,1658710856,77,-34.5833,150.8552,64.38,5.01
218,3347019,Mossamedes,0,AO,1658710861,86,-15.1961,12.1522,63.45,5.21
219,3731095,Aquin,66,HT,1658711042,80,18.2833,-73.4,79.43,0.85
220,2236967,Soyo,74,AO,1658710774,93,-6.1349,12.3689,69.44,4.23
221,1266668,Khonsa,100,IN,1658711042,99,27.0167,95.5667,69.26,1.25
222,2156643,Mount Gambier,100,AU,1658710849,94,-37.8333,140.7667,55.31,13.8
223,2071860,Esperance,0,AU,1658710852,62,-33.8667,121.9,52.61,15.12
224,2017155,Saskylakh,15,RU,1658710835,56,71.9167,114.0833,71.19,11.03
225,1714733,Dingle,84,PH,1658710884,78,10.9995,122.6711,83.32,0.83
226,6690297,Saint-Leu,10,RE,1658711043,75,-21.15,55.2833,67.03,3.69
227,1337619,Ugoofaaru,52,MV,1658711044,75,5.6667,73.0,81.32,12.48
228,1591474,Bac Lieu,93,VN,1658711044,79,9.285,105.7244,81.91,6.04
229,5367788,Lompoc,75,US,1658710660,75,34.6391,-120.4579,80.02,11.01
230,1708743,Kinablangan,84,PH,1658711044,68,7.6947,126.5503,83.77,3.4
231,103630,Najrān,99,SA,1658711045,68,17.4924,44.1277,74.25,6.42
232,2122090,Pevek,90,RU,1658710814,88,69.7008,170.3133,35.91,2.89
233,240210,Birao,14,CF,1658711045,95,10.2849,22.7882,71.13,3.8
234,1792592,Tongren,10,CN,1658711046,70,27.7172,109.1853,85.8,3.51
235,5392126,San Joaquin,0,US,1658711046,27,37.9333,-121.3011,99.52,10.36
236,3386213,Touros,57,BR,1658710821,75,-5.1989,-35.4608,73.9,17.34
237,1855476,Nichinan,42,JP,1658711046,73,31.6,131.3667,85.41,2.93
238,1809263,Guozhen,0,CN,1658711047,61,34.3659,107.359,83.3,1.81
